sleeper_id,full_name,position
10210,Cameron Latu,TE
10213,Tre Tucker,WR
10214,Davis Allen,TE
10216,Kenny McIntosh,RB
10217,Clayton Tune,QB
10218,Xavier Hutchinson,WR
10219,Chris Rodriguez,RB
10220,Will Mallory,TE
10221,Ronnie Bell,WR
10222,Jayden Reed,WR
10223,Eric Gray,RB
10225,Jonathan Mingo,WR
10226,Andrei Iosivas,WR
10228,Charlie Jones,WR
10229,Rashee Rice,WR
10231,Elijah Higgins,TE
10232,Michael Wilson,WR
10234,Derius Davis,WR
10235,Roschon Johnson,RB
10236,Dalton Kincaid,TE
10444,Cedric Tillman,WR
10857,Stetson Bennett,QB
10859,Sam LaPorta,TE
10860,Malik Cunningham,QB
10862,Dorian Thompson-Robinson,QB
10863,A.T. Perry,WR
10866,Aidan O'Connell,QB
10867,Jake Bobo,WR
10870,Deneric Prince,RB
10871,Luke Schoonmaker,TE
10983,Sean Clifford,QB
11199,Emari Demercado,RB
11210,Malik Heath,WR
11256,Tyson Bagent,QB
11292,Tommy DeVito,QB
11306,Xavier Gipson,WR
11311,Jason Brownlee,WR
11370,Chris Brooks,RB
11435,Emanuel Wilson,RB
11439,Jaleel McLaughlin,RB
11557,Joe Milton,QB
11559,Michael Penix,QB
11560,Caleb Williams,QB
11561,Michael Pratt,QB
11562,Spencer Rattler,QB
11563,Bo Nix,QB
11564,Drake Maye,QB
11565,J.J. McCarthy,QB
11566,Jayden Daniels,QB
11567,Jordan Travis,QB
11568,Blake Watson,RB
11570,Rasheen Ali,RB
11571,Isaiah Davis,RB
11574,Dylan Laube,RB
11575,Ray Davis,RB
11576,Braelon Allen,RB
11577,Will Shipley,RB
11579,Audric Estime,RB
11580,Dillon Johnson,RB
11581,MarShawn Lloyd,RB
11583,Jonathon Brooks,RB
11584,Bucky Irving,RB
11586,Blake Corum,RB
11588,Jawhar Jordan,RB
11589,Trey Benson,RB
11590,Jase McClellan,RB
11592,Erick All,TE
11595,Jared Wiley,TE
11596,Ben Sinnott,TE
11597,Theo Johnson,TE
11599,Cade Stover,TE
11600,Ja'Tavion Sanders,TE
11603,AJ Barner,TE
11604,Brock Bowers,TE
11610,Malik Washington,WR
11615,Ainias Smith,WR
11616,Jacob Cowing,WR
11617,Malachi Corley,WR
11618,Jalen McMillan,WR
11619,Ja'Lynn Polk,WR
11620,Rome Odunze,WR
11621,Brenden Rice,WR
11624,Xavier Worthy,WR
11625,Adonai Mitchell,WR
11626,Xavier Legette,WR
11627,Troy Franklin,WR
11628,Marvin Harrison,WR
11629,Devontez Walker,WR
11630,Roman Wilson,WR
11631,Brian Thomas,WR
11632,Malik Nabers,WR
11633,Jamari Thrash,WR
11635,Ladd McConkey,WR
11636,Johnny Wilson,WR
11637,Keon Coleman,WR
11638,Ricky Pearsall,WR
11640,Jermaine Burton,WR
11643,Jaylen Wright,RB
11645,Javon Baker,WR
11647,Kimani Vidal,RB
11650,Luke McCaffrey,WR
11651,Isaac Guerendo,RB
11652,Louis Rees-Zammit,RB
11655,Tyrone Tracy,RB
1166,Kirk Cousins,QB
11716,Tip Reiman,TE
11729,Sione Vaki,RB
11748,Bub Means,WR
11783,Ryan Flournoy,WR
11821,Tahj Washington,WR
1234,Russell Wilson,QB
1339,Zach Ertz,TE
1346,Marquise Goodwin,WR
1352,Robert Woods,WR
1373,Geno Smith,QB
1426,DeAndre Hopkins,WR
1466,Travis Kelce,TE
1479,Keenan Allen,WR
1535,Cordarrelle Patterson,RB
1689,Adam Thielen,WR
1837,Jimmy Garoppolo,QB
19,Joe Flacco,QB
2028,Derek Carr,QB
2078,Odell Beckham,WR
2133,Davante Adams,WR
2197,Brandin Cooks,WR
2216,Mike Evans,WR
2251,Logan Thomas,TE
2306,Jameis Winston,QB
2307,Marcus Mariota,QB
2309,Amari Cooper,WR
232,Frank Gore,RB
2374,Tyler Lockett,WR
2449,Stefon Diggs,WR
2711,Taylor Heinicke,QB
2749,Raheem Mostert,RB
3163,Jared Goff,QB
3164,Ezekiel Elliott,RB
3198,Derrick Henry,RB
