sleeper_id,full_name,position
8155,Breece Hall,RB
9221,Jahmyr Gibbs,RB
9493,Puka Nacua,WR
8146,Garrett Wilson,WR
10859,Sam LaPorta,TE
4984,Josh Allen,QB
4034,Christian McCaffrey,RB
5859,A.J. Brown,WR
4046,Patrick Mahomes,QB
11632,Malik Nabers,WR
8144,Chris Olave,WR
9758,C.J. Stroud,QB
8112,Drake London,WR
3321,Tyreek Hill,WR
6813,Jonathan Taylor,RB
7526,Jaylen Waddle,WR
6803,Brandon Aiyuk,WR
4881,Lamar Jackson,QB
11620,Rome Odunze,WR
6904,Jalen Hurts,QB
7525,DeVonta Smith,WR
7569,Nico Collins,WR
8130,Trey McBride,TE
9226,De'Von Achane,RB
9229,Anthony Richardson,QB
10236,Dalton Kincaid,TE
7543,Travis Etienne,RB
11604,Brock Bowers,TE
9502,Tank Dell,WR
6819,Michael Pittman,WR
6770,Joe Burrow,QB
5846,DK Metcalf,WR
4983,DJ Moore,WR
11583,Jonathon Brooks,RB
9756,Jordan Addison,WR
9997,Zay Flowers,WR
4866,Saquon Barkley,RB
9488,Jaxon Smith-Njigba,WR
11560,Caleb Williams,QB
7553,Kyle Pitts,TE
8150,Kyren Williams,RB
8151,Kenneth Walker,RB
8137,George Pickens,WR
6801,Tee Higgins,WR
6797,Justin Herbert,QB
6804,Jordan Love,QB
5012,Mark Andrews,TE
11631,Brian Thomas,WR
8205,Isiah Pacheco,RB
8138,James Cook,RB
11624,Xavier Worthy,WR
11635,Ladd McConkey,WR
5844,T.J. Hockenson,TE
5849,Kyler Murray,QB
8136,Rachaad White,RB
10222,Jayden Reed,WR
11589,Trey Benson,RB
11566,Jayden Daniels,QB
5850,Josh Jacobs,RB
5872,Deebo Samuel,WR
11637,Keon Coleman,WR
2216,Mike Evans,WR
1466,Travis Kelce,TE
10229,Rashee Rice,WR
2133,Davante Adams,WR
4950,Christian Kirk,WR
7523,Trevor Lawrence,QB
3198,Derrick Henry,RB
5927,Terry McLaurin,WR
11638,Ricky Pearsall,WR
6790,D'Andre Swift,RB
8183,Brock Purdy,QB
11625,Adonai Mitchell,WR
4039,Cooper Kupp,WR
2309,Amari Cooper,WR
8167,Christian Watson,WR
2449,Stefon Diggs,WR
3294,Dak Prescott,QB
9508,Tyjae Spears,RB
4018,Joe Mixon,RB
8139,Zamir White,RB
4037,Chris Godwin,WR
11626,Xavier Legette,WR
6768,Tua Tagovailoa,QB
5937,Diontae Johnson,WR
11586,Blake Corum,RB
8228,Jaylen Warren,RB
5892,David Montgomery,RB
4217,George Kittle,TE
8148,Jameson Williams,WR
7611,Rhamondre Stevenson,RB
4066,Evan Engram,TE
7528,Najee Harris,RB
8110,Jake Ferguson,TE
4035,Alvin Kamara,RB
9757,Kendre Miller,RB
7588,Javonte Williams,RB
4981,Calvin Ridley,WR
4033,David Njoku,TE
11564,Drake Maye,QB
8154,Brian Robinson,RB
3163,Jared Goff,QB
9753,Zach Charbonnet,RB
8121,Romeo Doubs,WR
11619,Ja'Lynn Polk,WR
11581,MarShawn Lloyd,RB
11643,Jaylen Wright,RB
1479,Keenan Allen,WR
9500,Josh Downs,WR
11565,J.J. McCarthy,QB
9486,Dontayvion Wicks,WR
5967,Tony Pollard,RB
11627,Troy Franklin,WR
11640,Jermaine Burton,WR
11630,Roman Wilson,WR
8119,Jahan Dotson,WR
4199,Aaron Jones,RB
6845,Zack Moss,RB
6826,Cole Kmet,TE
8134,Khalil Shakir,WR
9224,Chase Brown,RB
7600,Pat Freiermuth,TE
9228,Bryce Young,QB
6783,Jerry Jeudy,WR
4988,Nick Chubb,RB
9481,Luke Musgrave,TE
11596,Ben Sinnott,TE
8143,Jerome Ford,RB
5045,Courtland Sutton,WR
4137,James Conner,RB
5001,Dalton Schultz,TE
6130,Devin Singletary,RB
5947,Jakobi Meyers,WR
5022,Dallas Goedert,TE
11617,Malachi Corley,WR
11645,Javon Baker,WR
1426,DeAndre Hopkins,WR
9999,Will Levis,QB
8676,Rashid Shaheed,WR
